make,price,body_type,type,mileage,gearbox,fuel_type,seller,engine_size,cylinders,fuel_consumption,empty_weight,model,location,age,power,owner
Mercedes-Benz,23999,Compact,Used,100000.0,Automatic,Diesel,Dealer,2143,4.0,4.1,1475.0,A 200,ES,6.0,136,other_owner
Mercedes-Benz,20630,Compact,Used,98258.0,Manual,Diesel,Dealer,1461,4.0,4.2,1295.0,A 180,ES,3.0,116,other_owner
Mercedes-Benz,21000,Compact,Used,172700.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1425.0,A 180,ES,4.0,109,other_owner
Mercedes-Benz,29900,Compact,Used,68900.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1455.0,A 180,ES,3.0,116,other_owner
Mercedes-Benz,27999,Compact,Used,41272.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1275.0,A 200,BE,4.0,163,other_owner
Mercedes-Benz,25600,Compact,Used,49600.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1445.0,A 180,ES,4.0,116,other_owner
Mercedes-Benz,26850,Compact,Used,28330.0,Automatic,Benzine,Dealer,1332,4.0,7.197121228687381,1365.0,A 180,ES,2.0,136,other_owner
Mercedes-Benz,25990,Compact,Used,67626.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1295.0,A 180,BE,2.0,136,first_owner
Mercedes-Benz,34995,Compact,Used,8828.0,Automatic,Diesel,Dealer,1950,4.0,4.6,1555.0,A 200,ES,2.0,150,first_owner
Mercedes-Benz,27800,Compact,Used,61618.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1425.0,A 180,ES,4.0,109,other_owner
Mercedes-Benz,29999,Compact,Used,17115.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1295.0,A 180,BE,2.0,136,first_owner
Mercedes-Benz,38350,Compact,Demonstration,8000.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1275.0,A 200,DE,1.0,163,first_owner
Mercedes-Benz,23400,Compact,Used,87500.0,Automatic,Diesel,Dealer,2143,4.0,4.1,1475.0,A 200,ES,6.0,136,other_owner
Mercedes-Benz,21450,Compact,Used,116715.0,Automatic,Diesel,Dealer,2143,4.0,4.1,1475.0,A 200,ES,5.0,136,first_owner
Mercedes-Benz,23900,Compact,Used,98781.0,Automatic,Diesel,Dealer,2143,4.0,3.8,1485.0,A 200,ES,5.0,136,first_owner
Mercedes-Benz,27900,Compact,Used,19785.0,Automatic,Benzine,Dealer,4,4.0,7.197121228687381,1295.0,A 180,ES,1.0,136,first_owner
Mercedes-Benz,33900,Compact,Used,35758.0,Automatic,Diesel,Dealer,1950,4.0,4.1,1510.0,A 200,ES,2.0,150,first_owner
Mercedes-Benz,64999,Compact,Used,30273.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,BE,2.0,421,first_owner
Mercedes-Benz,27490,Compact,Used,91754.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1455.0,A 180,ES,3.0,116,other_owner
Mercedes-Benz,24780,Compact,Used,46403.0,Automatic,Benzine,Dealer,1595,4.0,5.5,1370.0,A 180,DE,4.0,122,other_owner
Mercedes-Benz,9770,Compact,Used,49658.0,Manual,Benzine,Dealer,1699,4.0,6.6,1260.0,A 180,DE,10.0,116,other_owner
Mercedes-Benz,23850,Compact,Used,71098.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1425.0,A 180,ES,4.0,109,other_owner
Mercedes-Benz,7000,Compact,Used,96000.0,Manual,Benzine,Dealer,2034,4.0,7.2,1340.0,A 200,ES,17.0,136,other_owner
Mercedes-Benz,31950,Compact,Used,23644.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1295.0,A 180,BE,0.0,136,first_owner
Mercedes-Benz,25000,Compact,Used,78300.0,Automatic,Benzine,Dealer,1332,4.0,7.197121228687381,1365.0,A 180,ES,3.0,136,other_owner
Mercedes-Benz,14700,Compact,Used,93914.0,Manual,Diesel,Dealer,1461,4.0,3.8,1295.0,A 180,BE,7.0,109,other_owner
Mercedes-Benz,8950,Compact,Used,199000.0,Automatic,Diesel,Dealer,1991,4.0,5.2,1345.0,A 180,ES,10.0,109,other_owner
Mercedes-Benz,74990,Compact,Used,60000.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,2.0,421,first_owner
Mercedes-Benz,72500,Compact,Used,34766.0,Automatic,Benzine,Dealer,1991,4.0,8.9,1535.0,A 45 AMG,NL,2.0,421,other_owner
Mercedes-Benz,66990,Compact,Used,48000.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,2.0,421,other_owner
Mercedes-Benz,46999,Compact,Used,5934.0,Automatic,Benzine,Dealer,1337,4.0,6.1,1275.0,A 200,NL,1.0,136,first_owner
Mercedes-Benz,32999,Compact,Used,100229.0,Automatic,Benzine,Dealer,1991,4.0,7.1,1455.0,A 45 AMG,NL,7.0,362,other_owner
Mercedes-Benz,39495,Compact,Used,54510.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1455.0,A 45 AMG,NL,5.0,381,first_owner
Mercedes-Benz,10950,Compact,Used,194367.0,Manual,Diesel,Dealer,1461,4.0,3.6,1285.0,A 180,NL,8.0,109,other_owner
Mercedes-Benz,16750,Compact,Used,184748.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1325.0,A 180,NL,5.0,109,first_owner
Mercedes-Benz,30950,Compact,Used,115949.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1455.0,A 45 AMG,NL,6.0,381,other_owner
Mercedes-Benz,12950,Compact,Used,236233.0,Manual,Diesel,Dealer,1461,4.0,3.5,1285.0,A 180,NL,6.0,109,other_owner
Mercedes-Benz,12445,Compact,Used,177477.0,Manual,Diesel,Dealer,1461,4.0,3.5,1285.0,A 180,NL,6.0,109,other_owner
Mercedes-Benz,28445,Compact,Used,117613.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1455.0,A 45 AMG,NL,9.0,360,other_owner
Mercedes-Benz,48136,Compact,Used,4537.0,Automatic,Benzine,Dealer,1337,4.0,6.1,1275.0,A 200,NL,1.0,136,first_owner
Mercedes-Benz,51999,Compact,Used,6642.0,Automatic,Benzine,Dealer,4,4.0,6.1,1275.0,A 200,NL,1.0,136,first_owner
Mercedes-Benz,14945,Compact,Used,188018.0,Automatic,Benzine,Dealer,1595,4.0,5.6,1295.0,A 180,NL,8.0,122,other_owner
Mercedes-Benz,39900,Compact,Used,46300.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1555.0,A 45 AMG,ES,6.0,381,other_owner
Mercedes-Benz,25950,Compact,Used,136404.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1455.0,A 45 AMG,NL,8.0,362,other_owner
Mercedes-Benz,16950,Compact,Used,165282.0,Manual,Diesel,Dealer,1461,4.0,7.197121228687381,1295.0,A 180,NL,10.0,109,other_owner
Mercedes-Benz,34900,Compact,Used,52694.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1455.0,A 45 AMG,NL,6.0,381,other_owner
Mercedes-Benz,44988,Compact,Used,62182.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1455.0,A 45 AMG,NL,4.0,379,other_owner
Mercedes-Benz,27425,Compact,Used,139464.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1275.0,A 200,NL,4.0,163,other_owner
Mercedes-Benz,29950,Compact,Used,69463.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1455.0,A 45 AMG,NL,8.0,362,other_owner
Mercedes-Benz,19950,Compact,Used,141989.0,Manual,Diesel,Dealer,1461,4.0,3.9,1295.0,A 180,NL,5.0,109,first_owner
Mercedes-Benz,38999,Compact,Used,59381.0,Automatic,Benzine,Dealer,4,4.0,5.3,1275.0,A 200,NL,3.0,136,first_owner
Mercedes-Benz,6400,Compact,Used,179000.0,Automatic,Diesel,Dealer,1991,4.0,5.2,1345.0,A 180,ES,16.0,109,other_owner
Mercedes-Benz,13990,Compact,Used,123000.0,Manual,Diesel,Dealer,1991,4.0,5.2,1345.0,A 180,ES,10.0,109,other_owner
Mercedes-Benz,23990,Compact,Used,51078.0,Automatic,Diesel,Dealer,1461,4.0,4.1,1295.0,A 180,ES,3.0,116,first_owner
Mercedes-Benz,16800,Compact,Used,154000.0,Automatic,Diesel,Dealer,1500,4.0,7.197121228687381,1295.0,A 180,BE,8.0,109,first_owner
Mercedes-Benz,26900,Compact,Used,139719.0,Automatic,Diesel,Dealer,1950,4.0,4.8,1290.0,A 200,NL,3.0,150,first_owner
Mercedes-Benz,23990,Compact,Used,51078.0,Automatic,Diesel,Dealer,1461,4.0,4.1,1295.0,A 180,ES,3.0,116,first_owner
Mercedes-Benz,72890,Compact,Used,12900.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,1.0,421,first_owner
Mercedes-Benz,23780,Compact,Used,80928.0,Automatic,Diesel,Dealer,2143,4.0,7.197121228687381,1275.0,A 200,FR,4.0,136,other_owner
Mercedes-Benz,27800,Compact,Used,61618.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1425.0,A 180,ES,4.0,109,other_owner
Mercedes-Benz,26850,Compact,Used,25681.0,Automatic,Benzine,Dealer,1332,4.0,7.197121228687381,1365.0,A 180,ES,2.0,136,other_owner
Mercedes-Benz,31450,Compact,Used,99597.0,Manual,Diesel,Dealer,1461,4.0,4.6,1325.0,A 180,NL,3.0,116,first_owner
Mercedes-Benz,17944,Compact,Used,99939.0,Manual,Benzine,Dealer,1595,4.0,5.6,1270.0,A 180,NL,6.0,122,first_owner
Mercedes-Benz,19950,Compact,Used,189278.0,Automatic,Diesel,Dealer,2143,4.0,3.8,1345.0,A 200,NL,7.0,136,other_owner
Mercedes-Benz,23536,Compact,Used,29721.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1445.0,A 180,ES,3.0,116,first_owner
Mercedes-Benz,37950,Compact,Used,67953.0,Automatic,Benzine,Dealer,1332,4.0,5.2,1275.0,A 200,NL,4.0,165,other_owner
Mercedes-Benz,33950,Compact,Used,74951.0,Automatic,Benzine,Dealer,1333,4.0,5.3,1275.0,A 200,NL,4.0,163,other_owner
Mercedes-Benz,12245,Compact,Used,140230.0,Manual,Diesel,Dealer,1461,4.0,3.6,1285.0,A 180,NL,9.0,109,other_owner
Mercedes-Benz,19995,Compact,Used,63522.0,Manual,Benzine,Dealer,1595,4.0,7.197121228687381,1275.0,A 200,NL,5.0,156,other_owner
Mercedes-Benz,27800,Compact,Used,61618.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1425.0,A 180,ES,4.0,109,other_owner
Mercedes-Benz,16945,Compact,Used,135462.0,Automatic,Benzine,Dealer,1595,4.0,5.3,1295.0,A 180,NL,7.0,122,other_owner
Mercedes-Benz,26980,Compact,Used,82571.0,Automatic,Benzine,Dealer,1595,4.0,5.4,1295.0,A 180,NL,4.0,122,other_owner
Mercedes-Benz,18945,Compact,Used,96488.0,Automatic,Benzine,Dealer,1595,4.0,5.3,1295.0,A 180,NL,7.0,122,other_owner
Mercedes-Benz,22950,Compact,Used,109275.0,Automatic,Benzine,Dealer,1595,4.0,5.4,1295.0,A 180,NL,4.0,122,other_owner
Mercedes-Benz,32990,Compact,Used,41004.0,Automatic,Benzine,Dealer,1332,4.0,7.197121228687381,1275.0,A 200,NL,4.0,163,other_owner
Mercedes-Benz,12295,Compact,Used,161839.0,Manual,Benzine,Dealer,1595,4.0,5.5,1270.0,A 180,NL,9.0,122,other_owner
Mercedes-Benz,27400,Compact,Used,96300.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1445.0,A 180,ES,4.0,116,other_owner
Mercedes-Benz,29950,Compact,Used,63267.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1275.0,A 200,NL,4.0,165,other_owner
Mercedes-Benz,34950,Compact,Used,74458.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1265.0,A 180,NL,4.0,136,other_owner
Mercedes-Benz,35950,Compact,Used,14683.0,Automatic,Benzine,Dealer,1332,4.0,6.1,1265.0,A 180,NL,1.0,136,first_owner
Mercedes-Benz,19990,Compact,Used,87119.0,Automatic,Diesel,Dealer,2143,4.0,3.8,1485.0,A 200,ES,5.0,136,other_owner
Mercedes-Benz,18750,Compact,Used,108208.0,Manual,Benzine,Dealer,1595,4.0,7.197121228687381,1295.0,A 180,NL,7.0,122,other_owner
Mercedes-Benz,15250,Compact,Used,100532.0,Manual,Benzine,Dealer,1595,4.0,5.7,1270.0,A 180,NL,9.0,122,first_owner
Mercedes-Benz,27250,Compact,Used,86000.0,Automatic,Diesel,Dealer,1461,4.0,7.197121228687381,1295.0,A 180,AT,3.0,116,first_owner
Mercedes-Benz,28590,Compact,Used,70840.0,Automatic,Diesel,Dealer,1461,4.0,7.197121228687381,1345.0,A 180,NL,4.0,116,other_owner
Mercedes-Benz,23190,Compact,Used,25919.0,Automatic,Diesel,Dealer,1500,4.0,7.197121228687381,1445.0,A 180,FR,3.0,116,first_owner
Mercedes-Benz,13950,Compact,Used,133773.0,Manual,Benzine,Dealer,1595,4.0,5.2,1260.0,A 180,NL,9.0,122,other_owner
Mercedes-Benz,33500,Compact,Used,64810.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1275.0,A 200,NL,3.0,165,other_owner
Mercedes-Benz,17995,Compact,Used,198291.0,Manual,Diesel,Dealer,1461,4.0,3.5,1285.0,A 180,NL,4.0,107,other_owner
Mercedes-Benz,17950,Compact,Used,75594.0,Manual,Benzine,Dealer,1595,4.0,5.2,1270.0,A 180,NL,6.0,122,first_owner
Mercedes-Benz,26890,Compact,Used,29999.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1445.0,A 180,ES,3.0,116,other_owner
Mercedes-Benz,20500,Compact,Used,95698.0,Automatic,Benzine,Dealer,1595,4.0,7.197121228687381,1275.0,A 200,NL,9.0,156,other_owner
Mercedes-Benz,18999,Compact,Used,96010.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1325.0,A 180,NL,6.0,109,first_owner
Mercedes-Benz,28490,Compact,Used,33349.0,Automatic,Diesel,Dealer,1950,4.0,4.6,1295.0,A 180,BE,1.0,116,first_owner
Mercedes-Benz,17950,Compact,Used,132111.0,Automatic,Benzine,Dealer,1595,4.0,5.7,1295.0,A 180,NL,8.0,122,other_owner
Mercedes-Benz,38950,Compact,Used,15406.0,Automatic,Benzine,Dealer,1332,4.0,5.2,1275.0,A 200,NL,3.0,165,other_owner
Mercedes-Benz,18400,Compact,Used,102998.0,Automatic,Benzine,Dealer,1595,4.0,5.4,1295.0,A 180,NL,7.0,122,other_owner
Mercedes-Benz,21945,Compact,Used,50340.0,Automatic,Benzine,Dealer,1595,4.0,5.2,1295.0,A 180,NL,6.0,122,other_owner
Mercedes-Benz,21950,Compact,Used,87385.0,Automatic,Benzine,Dealer,1595,4.0,5.1,1295.0,A 180,NL,7.0,122,other_owner
Mercedes-Benz,33950,Compact,Used,86828.0,Automatic,Benzine,Dealer,1333,4.0,5.3,1275.0,A 200,NL,4.0,163,other_owner
Mercedes-Benz,21999,Compact,Used,93827.0,Manual,Diesel,Dealer,2143,4.0,7.197121228687381,1275.0,A 200,FR,6.0,137,other_owner
Mercedes-Benz,32490,Compact,Used,49612.0,Automatic,Benzine,Dealer,1332,4.0,7.197121228687381,1275.0,A 200,NL,4.0,163,other_owner
Mercedes-Benz,30900,Compact,Used,13200.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1375.0,A 200,IT,2.0,163,first_owner
Mercedes-Benz,21800,Compact,Used,94000.0,Automatic,Diesel,Dealer,2143,4.0,3.8,1275.0,A 200,ES,4.0,136,other_owner
Mercedes-Benz,23490,Compact,Used,80630.0,Automatic,Diesel,Dealer,2143,4.0,7.197121228687381,1385.0,A 200,NL,4.0,136,other_owner
Mercedes-Benz,26950,Compact,Used,89805.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1265.0,A 180,NL,3.0,136,first_owner
Mercedes-Benz,16850,Compact,Used,113023.0,Automatic,Benzine,Dealer,1595,4.0,5.4,1295.0,A 180,NL,7.0,122,first_owner
Mercedes-Benz,21995,Compact,Used,109367.0,Automatic,Benzine,Dealer,1595,4.0,5.4,1295.0,A 180,NL,5.0,122,first_owner
Mercedes-Benz,31990,Compact,Used,78959.0,Automatic,Benzine,Dealer,1333,4.0,5.3,1275.0,A 200,NL,4.0,163,other_owner
Mercedes-Benz,26245,Compact,Used,44319.0,Automatic,Benzine,Dealer,1595,4.0,5.4,1295.0,A 180,NL,4.0,122,other_owner
Mercedes-Benz,21995,Compact,Used,92469.0,Automatic,Benzine,Dealer,1595,4.0,5.4,1295.0,A 180,NL,5.0,122,other_owner
Mercedes-Benz,27890,Compact,Used,38236.0,Automatic,Diesel,Dealer,1461,4.0,7.197121228687381,1295.0,A 180,BE,3.0,116,first_owner
Mercedes-Benz,13845,Compact,Used,123617.0,Manual,Diesel,Dealer,1461,4.0,3.6,1285.0,A 180,NL,8.0,109,other_owner
Mercedes-Benz,29999,Compact,Used,43819.0,Manual,Diesel,Dealer,1950,4.0,7.197121228687381,1275.0,A 200,FR,3.0,152,first_owner
Mercedes-Benz,35950,Compact,Used,30535.0,Automatic,Benzine,Dealer,1332,4.0,5.9,1275.0,A 200,NL,1.0,165,first_owner
Mercedes-Benz,20999,Compact,Used,108714.0,Manual,Diesel,Dealer,2143,4.0,7.197121228687381,1275.0,A 200,FR,5.0,137,first_owner
Mercedes-Benz,27490,Compact,Used,25780.0,Manual,Benzine,Dealer,1332,4.0,5.3,1295.0,A 180,BE,2.0,136,first_owner
Mercedes-Benz,29490,Compact,Used,22042.0,Automatic,Diesel,Dealer,1950,4.0,4.6,1295.0,A 180,BE,1.0,116,first_owner
Mercedes-Benz,21999,Compact,Used,77642.0,Manual,Diesel,Dealer,2143,4.0,7.197121228687381,1275.0,A 200,FR,5.0,137,first_owner
Mercedes-Benz,17990,Compact,Used,175500.0,Manual,Diesel,Dealer,2143,4.0,4.2,1275.0,A 200,ES,8.0,136,other_owner
Mercedes-Benz,19999,Compact,Used,73301.0,Manual,Diesel,Dealer,1461,4.0,7.197121228687381,1295.0,A 180,FR,4.0,110,other_owner
Mercedes-Benz,30899,Compact,Used,29500.0,Automatic,Benzine,Dealer,1332,4.0,5.2,1265.0,A 180,NL,3.0,136,first_owner
Mercedes-Benz,21490,Compact,Used,67120.0,Automatic,Benzine,Dealer,1595,4.0,5.3,1295.0,A 180,NL,6.0,122,other_owner
Mercedes-Benz,20999,Compact,Used,71482.0,Manual,Diesel,Dealer,1461,4.0,7.197121228687381,1295.0,A 180,FR,4.0,110,other_owner
Mercedes-Benz,18995,Compact,Used,99533.0,Automatic,Benzine,Dealer,1595,4.0,5.7,1295.0,A 180,NL,8.0,122,other_owner
Mercedes-Benz,72890,Compact,Used,12900.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,1.0,421,first_owner
Mercedes-Benz,34500,Compact,Used,73950.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1555.0,A 45 AMG,IT,5.0,381,first_owner
Mercedes-Benz,30890,Compact,Used,51774.0,Automatic,Diesel,Dealer,1950,4.0,4.2,1275.0,A 200,BE,3.0,150,first_owner
Mercedes-Benz,92800,Compact,Pre-registered,1.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,0.0,421,first_owner
Mercedes-Benz,28999,Compact,Used,93000.0,Automatic,Benzine,Dealer,1991,4.0,7.1,1555.0,A 45 AMG,ES,7.0,360,first_owner
Mercedes-Benz,22900,Compact,Used,79000.0,Automatic,Diesel,Dealer,2143,4.0,4.9,1545.0,A 45 AMG,ES,8.0,170,other_owner
Mercedes-Benz,85900,Compact,Pre-registered,100.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,0.0,421,first_owner
Mercedes-Benz,35900,Compact,Used,21000.0,Automatic,Benzine,Dealer,1991,4.0,7.1,1555.0,A 45 AMG,ES,8.0,360,other_owner
Mercedes-Benz,36500,Compact,Used,24900.0,Automatic,Benzine,Dealer,1991,4.0,7.1,1555.0,A 45 AMG,ES,9.0,360,other_owner
Mercedes-Benz,35500,Compact,Used,37000.0,Automatic,Benzine,Dealer,1991,4.0,7.1,1555.0,A 45 AMG,ES,8.0,360,other_owner
Mercedes-Benz,73900,Compact,Used,13700.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,2.0,421,other_owner
Mercedes-Benz,65900,Compact,Used,49900.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,2.0,421,other_owner
Mercedes-Benz,70000,Compact,Used,11562.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,1.0,421,first_owner
Mercedes-Benz,33900,Compact,Used,164000.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1555.0,A 45 AMG,ES,6.0,381,other_owner
Mercedes-Benz,71900,Compact,Used,24830.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,2.0,421,other_owner
Mercedes-Benz,6800,Compact,Used,191074.0,Manual,Diesel,Dealer,1991,4.0,5.2,1345.0,A 180,ES,10.0,109,other_owner
Mercedes-Benz,28950,Compact,Used,175000.0,Automatic,Benzine,Dealer,1991,4.0,7.1,1555.0,A 45 AMG,ES,9.0,360,other_owner
Mercedes-Benz,35900,Compact,Used,29328.0,Automatic,Benzine,Dealer,1991,4.0,7.1,1555.0,A 45 AMG,ES,8.0,360,other_owner
Mercedes-Benz,15590,Compact,Used,270000.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1425.0,A 180,ES,9.0,109,other_owner
Mercedes-Benz,29650,Compact,Used,134104.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1455.0,A 45 AMG,NL,7.0,360,first_owner
Mercedes-Benz,68900,Compact,Used,31000.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,2.0,421,other_owner
Mercedes-Benz,27990,Compact,Used,98000.0,Automatic,Benzine,Dealer,1991,4.0,7.1,1555.0,A 45 AMG,ES,7.0,360,first_owner
Mercedes-Benz,29900,Compact,Used,82100.0,Automatic,Benzine,Dealer,1991,4.0,7.1,1555.0,A 45 AMG,ES,9.0,360,other_owner
Mercedes-Benz,71900,Compact,Used,26450.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,2.0,421,other_owner
Mercedes-Benz,45990,Compact,Pre-registered,1.0,Automatic,Diesel,Dealer,1950,4.0,4.2,1490.0,A 200,ES,0.0,150,first_owner
Mercedes-Benz,26263,Compact,Used,114154.0,Automatic,Diesel,Dealer,1950,4.0,4.2,1490.0,A 200,ES,2.0,150,other_owner
